text,word_count,summary,classification,Framework,framework_Name,doc_name,doc_link,fileTitle
1 Supplier marketing toolkit As a Crown Commercial Service (CCS) supplier we encourage you to promote your position to ensure existing and potential public sector customers are aware of what you offer through our arrangements; and to help channel public sector spend through our agreements to maximise savings for the taxpayer. This toolkit has been created to provide you with advice and guidance on how best to market your position.,70,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
"In this pack you will find information on: Our supplier logo Press release/communications guidance Notes to Editors text Case studies Power to your procurement2• Business cards • Email signatures • Presentation slides • Letterheads • Promotional material such as brochures, leaflets, emails etc. • Web pages • Event stands The logo should be used in line with our brand guidelines and only be applied where it is relevant i.e. not for the purpose of promoting products or services you may also offer, outside of your CCS agreement.",87,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
Advice on branding and copies of the logo are included as part of this toolkit.The Crown Commercial Service supplier logo Our supplier logo can be used to help you promote your position.,32,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
Why not consider using it on the following materials?,9,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
Press release/communications guidance We encourage you to actively promote your organisation to existing and potential customers. The following guidance will help you position the messages correctly. How to describe Crown Commercial Service (CCS) • Please use our full name in the first instance with CCS in brackets e.g. Crown Commercial Service (CCS).,52,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
Thereafter it is fine to use CCS • Crown Commercial Service (CCS) supports the public sector to achieve maximum commercial value when procuring common goods and services Include the following paragraph in your release: • Crown Commercial Service supports the public sector to achieve maximum commercial value when procuring common goods and services.,53,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
"In 2022/23, CCS helped the public sector to achieve commercial benefits equal to £3.8 billion - supporting world-class public services that offer best value for taxpayers What to say about your agreement • “[Insert company name] have been named as a supplier on Crown Commercial Service’s [insert framework name] framework. ” • Give the full title of each Lot your company has been named on • Say what customers can access through the Lot, and check the wording of this with your category manager3Promoting your position DO:",87,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
üü ensure all press releases and literature regarding your position are shared with and approved by your category manager before they are distributed. This is to ensure they are factually correct and we are aware of what is being issued to potential customers ü ü use the logo (in line with the brand guidelines) when promoting your organisation.,58,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
This will help reinforce and highlight your position to potential customers ü ü make sure you keep your company profile up to date in the eSourcing tool as this information also appears on our website üü ensure you state your position accurately and only refer to the goods and services that you offer that are available under the terms of the agreement i.e. that you have been awarded a place on [insert name e.g.,74,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
PSN Services] agreement for the supply of [insert examples of range of goods and services you offer under the arrangement] üü develop case studies to showcase the benefits of the arrangement and the savings customers have successfully achieved. We encourage you to work with your category manager to develop case studies and a template is provided in this toolkit to help you üü include the paragraph describing who CCS is and what we do (page 2) üü include the below Notes to Editors section at the end of any press release you issue DO NOT:,95,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
